"A13 — Memory-constant sensitivity (γ, σ, λ) — all 10 cells",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
   hyperparameter's family of comparisons (do NOT correct across different ,,,,,,,
   hyperparameters — treat each hyperparameter's comparisons as a separate ,,,,,,,
   family).,,,,,,,
,,,,,,,
4. **Average rank** for each hyperparameter value across the 10 conditions ,,,,,,,
"   (rank 1 = best per row, averaged across rows) as a robustness summary.",,,,,,,
,,,,,,,
5. Flag any hyperparameter where the chosen value has the best average rank ,,,,,,,
   but does NOT reach significance (corrected p > 0.05) against nearby ,,,,,,,
"   values — report this as ""directionally best but not statistically ",,,,,,,
"   distinguishable"" rather than overstating significance.",,,,,,,
,,,,,,,
Output for each hyperparameter:,,,,,,,
A markdown table: value | avg_rank | wilcoxon_p_vs_chosen | holm_corrected_p,,,,,,, 
 The Friedman chi-square and p-value,,,,,,,
"A one-sentence plain-English verdict (e.g., ""significantly best,"" ""best on ",,,,,,,
"  average but not significantly better than neighbors,"" etc.)",,,,,,,
A suggested paragraph I can paste directly into my paper's ablation section,,,,,,,
,,,,,,,
"Save all results as a single CSV (one row per hyperparameter-value pair, ",,,,,,,
"with columns for hyperparameter_name, value, avg_rank, wilcoxon_p, ",,,,,,,
"holm_p, friedman_chi2, friedman_p) plus a summary markdown report.",,,,,,,
,,,,,,,
"Use Python (scipy.stats.friedmanchisquare, scipy.stats.wilcoxon) and ",,,,,,,
implement Holm-Bonferroni manually or via statsmodels.stats.multitest.,,,,,,,
