[Mon May 11 12:46:58 AEST 2026] [baseline] starting

================================================================================
HYBRID BASELINE-DAGGER PIPELINE
================================================================================
[12:46:58] [bo-hybrid] baseline_only root: /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only

--------------------------------------------------------------------------------
PHASE 1: LAYOUTS
--------------------------------------------------------------------------------
[layout-sampler] wrote 200 layouts -> /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/heldout_layouts.yaml
[layout-sampler] wrote 40 layouts -> /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/correction_layouts.yaml

--------------------------------------------------------------------------------
PHASE 2: INITIAL DEMO COLLECTION
--------------------------------------------------------------------------------
[12:46:59] [bo-hybrid] $ /home/s226137394/.conda/envs/maze/bin/python -u -m Equivariant_pathway.collect_demos --layouts /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/training_layouts.yaml --demo_dir /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/demos --num_demos 20 --seed 0
[eq-collect] 20 layouts in /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/training_layouts.yaml
[eq-collect] saved demo_multimodal_heldout_001_1778468131706.json  (layout 1/20, start=[0, 2], goal=[2, 4], fires=[[0, 4], [3, 4], [4, 0]])
[eq-collect] saved demo_multimodal_heldout_002_1778467661643.json  (layout 2/20, start=[3, 4], goal=[0, 0], fires=[[1, 2], [1, 3], [4, 3]])
[eq-collect] saved demo_multimodal_heldout_003_1778467796076.json  (layout 3/20, start=[4, 4], goal=[1, 2], fires=[[0, 1], [1, 0], [2, 3]])
[eq-collect] saved demo_multimodal_heldout_004_1778468270334.json  (layout 4/20, start=[2, 0], goal=[4, 3], fires=[[1, 4], [3, 2], [3, 3]])
[eq-collect] saved demo_multimodal_heldout_005_1778468227656.json  (layout 5/20, start=[2, 0], goal=[4, 2], fires=[[0, 1], [0, 4], [4, 4]])
[eq-collect] saved demo_multimodal_heldout_006_1778468591850.json  (layout 6/20, start=[2, 1], goal=[1, 4], fires=[[0, 4], [2, 2], [4, 0]])
[eq-collect] saved demo_multimodal_heldout_007_1778468350697.json  (layout 7/20, start=[4, 3], goal=[1, 4], fires=[[0, 1], [2, 4], [4, 1]])
[eq-collect] saved demo_multimodal_heldout_008_1778468164914.json  (layout 8/20, start=[0, 3], goal=[4, 2], fires=[[0, 0], [0, 4], [4, 1]])
[eq-collect] saved demo_multimodal_heldout_009_1778468556466.json  (layout 9/20, start=[1, 2], goal=[4, 0], fires=[[0, 3], [3, 0], [3, 2]])
[eq-collect] saved demo_multimodal_heldout_010_1778468437358.json  (layout 10/20, start=[0, 1], goal=[2, 3], fires=[[1, 0], [1, 2], [4, 2]])
[eq-collect] saved demo_multimodal_heldout_011_1778468478997.json  (layout 11/20, start=[0, 4], goal=[3, 1], fires=[[0, 0], [0, 2], [0, 3]])
[eq-collect] saved demo_multimodal_heldout_012_1778468176038.json  (layout 12/20, start=[3, 3], goal=[1, 0], fires=[[2, 2], [2, 4], [3, 1]])
[eq-collect] saved demo_multimodal_heldout_013_1778468351485.json  (layout 13/20, start=[4, 4], goal=[0, 3], fires=[[2, 0], [2, 1], [4, 2]])
[eq-collect] saved demo_multimodal_heldout_014_1778468485115.json  (layout 14/20, start=[1, 0], goal=[3, 4], fires=[[1, 4], [2, 3], [4, 4]])
[eq-collect] saved demo_multimodal_heldout_015_1778467702460.json  (layout 15/20, start=[1, 2], goal=[4, 4], fires=[[1, 1], [3, 1], [3, 4]])
[eq-collect] saved demo_multimodal_heldout_016_1778467650485.json  (layout 16/20, start=[0, 2], goal=[4, 1], fires=[[0, 0], [0, 4], [3, 3]])
[eq-collect] saved demo_multimodal_heldout_017_1778467627628.json  (layout 17/20, start=[0, 2], goal=[4, 2], fires=[[1, 1], [1, 4], [3, 1]])
[eq-collect] saved demo_multimodal_heldout_018_1778467630650.json  (layout 18/20, start=[2, 4], goal=[4, 2], fires=[[1, 4], [2, 2], [3, 4]])
[eq-collect] saved demo_multimodal_heldout_019_1778468269644.json  (layout 19/20, start=[2, 4], goal=[4, 2], fires=[[2, 0], [4, 0], [4, 3]])
[eq-collect] saved demo_multimodal_heldout_020_1778468083472.json  (layout 20/20, start=[4, 4], goal=[0, 0], fires=[[2, 2], [4, 0], [4, 3]])
[eq-collect] DONE — wrote 20 demos -> /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/demos
[12:47:02] [bo-hybrid] final initial demo count: 20

--------------------------------------------------------------------------------
PHASE 3: INITIAL TRAINING
--------------------------------------------------------------------------------
[12:47:02] [bo-hybrid] $ /home/s226137394/.conda/envs/maze/bin/python -u -m Equivariant_pathway.equivariant_CNN_hybrid.train --demo_dir /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/demos --checkpoint_dir /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/checkpoints --epochs 500 --seed 0 --max_demos 20
[hybrid-train] device=cuda demo_dir=/vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/demos
[hybrid-dataset] 20 demos -> 99 samples
[hybrid-train] trainable params: 1,400,028
[hybrid-train] ep   1/500 | train loss=0.9054 top1=0.511 | val loss=1.0548 | t=0.6s  *
[hybrid-train] ep  58/500 | train loss=0.0254 top1=1.000 | val loss=0.3036 | t=0.1s
[hybrid-train] ep  59/500 | train loss=0.0244 top1=1.000 | val loss=0.2889 | t=0.1s  *
[hybrid-train] ep  60/500 | train loss=0.0224 top1=1.000 | val loss=0.4110 | t=0.1s
[hybrid-train] ep  61/500 | train loss=0.0210 top1=1.000 | val loss=0.2705 | t=0.1s  *
[hybrid-train] ep  62/500 | train loss=0.0184 top1=1.000 | val loss=0.2284 | t=0.1s  *
[hybrid-train] ep  63/500 | train loss=0.0179 top1=1.000 | val loss=0.3459 | t=0.1s
[hybrid-train] ep  64/500 | train loss=0.0156 top1=1.000 | val loss=0.2690 | t=0.1s
[hybrid-train] ep  65/500 | train loss=0.0144 top1=1.000 | val loss=0.2881 | t=0.1s
[hybrid-train] ep  66/500 | train loss=0.0135 top1=1.000 | val loss=0.2973 | t=0.1s
[hybrid-train] ep  67/500 | train loss=0.0122 top1=1.000 | val loss=0.2733 | t=0.1s
[hybrid-train] ep  68/500 | train loss=0.0118 top1=1.000 | val loss=0.2933 | t=0.1s
[hybrid-train] ep  69/500 | train loss=0.0111 top1=1.000 | val loss=0.2500 | t=0.1s
[hybrid-train] ep  70/500 | train loss=0.0104 top1=1.000 | val loss=0.2589 | t=0.1s
[hybrid-train] ep  71/500 | train loss=0.0098 top1=1.000 | val loss=0.3174 | t=0.1s
[hybrid-train] ep  72/500 | train loss=0.0091 top1=1.000 | val loss=0.2351 | t=0.1s
[hybrid-train] ep  73/500 | train loss=0.0088 top1=1.000 | val loss=0.2382 | t=0.1s
[hybrid-train] ep  74/500 | train loss=0.0082 top1=1.000 | val loss=0.2602 | t=0.1s
[hybrid-train] ep  75/500 | train loss=0.0080 top1=1.000 | val loss=0.2555 | t=0.1s
[hybrid-train] ep  76/500 | train loss=0.0072 top1=1.000 | val loss=0.3154 | t=0.1s
[hybrid-train] ep  77/500 | train loss=0.0071 top1=1.000 | val loss=0.2652 | t=0.1s
[hybrid-train] ep  78/500 | train loss=0.0065 top1=1.000 | val loss=0.2107 | t=0.1s  *
[hybrid-train] ep  79/500 | train loss=0.0065 top1=1.000 | val loss=0.2200 | t=0.1s
[hybrid-train] ep  80/500 | train loss=0.0061 top1=1.000 | val loss=0.2750 | t=0.1s
[hybrid-train] ep  81/500 | train loss=0.0059 top1=1.000 | val loss=0.2868 | t=0.1s
[hybrid-train] ep  82/500 | train loss=0.0058 top1=1.000 | val loss=0.2595 | t=0.1s
[hybrid-train] ep  83/500 | train loss=0.0055 top1=1.000 | val loss=0.2363 | t=0.1s
[hybrid-train] ep  84/500 | train loss=0.0052 top1=1.000 | val loss=0.2495 | t=0.1s
[hybrid-train] ep  85/500 | train loss=0.0052 top1=1.000 | val loss=0.2190 | t=0.1s
[hybrid-train] ep  86/500 | train loss=0.0049 top1=1.000 | val loss=0.2336 | t=0.1s
[hybrid-train] ep  87/500 | train loss=0.0048 top1=1.000 | val loss=0.2689 | t=0.1s
[hybrid-train] ep  88/500 | train loss=0.0045 top1=1.000 | val loss=0.2472 | t=0.1s
[hybrid-train] ep  89/500 | train loss=0.0044 top1=1.000 | val loss=0.2279 | t=0.1s
[hybrid-train] ep  90/500 | train loss=0.0042 top1=1.000 | val loss=0.2439 | t=0.1s
[hybrid-train] ep  91/500 | train loss=0.0041 top1=1.000 | val loss=0.2482 | t=0.1s
[hybrid-train] ep  92/500 | train loss=0.0040 top1=1.000 | val loss=0.2325 | t=0.1s
[hybrid-train] ep  93/500 | train loss=0.0038 top1=1.000 | val loss=0.2252 | t=0.1s
[hybrid-train] ep  94/500 | train loss=0.0037 top1=1.000 | val loss=0.2489 | t=0.1s
[hybrid-train] ep  95/500 | train loss=0.0036 top1=1.000 | val loss=0.2500 | t=0.1s
[hybrid-train] ep  96/500 | train loss=0.0035 top1=1.000 | val loss=0.2082 | t=0.1s  *
[hybrid-train] ep  97/500 | train loss=0.0035 top1=1.000 | val loss=0.2199 | t=0.1s
[hybrid-train] ep  98/500 | train loss=0.0034 top1=1.000 | val loss=0.2470 | t=0.1s
[hybrid-train] ep  99/500 | train loss=0.0033 top1=1.000 | val loss=0.2258 | t=0.1s
[hybrid-train] ep 100/500 | train loss=0.0032 top1=1.000 | val loss=0.2302 | t=0.1s
[hybrid-train] ep 101/500 | train loss=0.0031 top1=1.000 | val loss=0.2662 | t=0.1s
[hybrid-train] ep 102/500 | train loss=0.0031 top1=1.000 | val loss=0.2437 | t=0.1s
[hybrid-train] ep 103/500 | train loss=0.0030 top1=1.000 | val loss=0.2117 | t=0.1s
[hybrid-train] ep 104/500 | train loss=0.0029 top1=1.000 | val loss=0.2262 | t=0.1s
[hybrid-train] ep 105/500 | train loss=0.0028 top1=1.000 | val loss=0.2487 | t=0.1s
[hybrid-train] ep 106/500 | train loss=0.0027 top1=1.000 | val loss=0.2301 | t=0.1s
[hybrid-train] ep 107/500 | train loss=0.0027 top1=1.000 | val loss=0.2244 | t=0.1s
[hybrid-train] ep 108/500 | train loss=0.0026 top1=1.000 | val loss=0.2407 | t=0.1s
[hybrid-train] ep 109/500 | train loss=0.0025 top1=1.000 | val loss=0.2406 | t=0.1s
[hybrid-train] ep 110/500 | train loss=0.0025 top1=1.000 | val loss=0.2189 | t=0.1s
[hybrid-train] ep 111/500 | train loss=0.0025 top1=1.000 | val loss=0.1995 | t=0.1s  *
[hybrid-train] ep 112/500 | train loss=0.0024 top1=1.000 | val loss=0.2252 | t=0.1s
[hybrid-train] ep 113/500 | train loss=0.0024 top1=1.000 | val loss=0.2543 | t=0.1s
[hybrid-train] ep 114/500 | train loss=0.0023 top1=1.000 | val loss=0.2251 | t=0.1s
[hybrid-train] ep 115/500 | train loss=0.0023 top1=1.000 | val loss=0.2192 | t=0.1s
[hybrid-train] ep 116/500 | train loss=0.0022 top1=1.000 | val loss=0.2468 | t=0.1s
[hybrid-train] ep 117/500 | train loss=0.0022 top1=1.000 | val loss=0.2184 | t=0.1s
[hybrid-train] ep 118/500 | train loss=0.0021 top1=1.000 | val loss=0.1996 | t=0.1s
[hybrid-train] ep 119/500 | train loss=0.0021 top1=1.000 | val loss=0.2282 | t=0.1s
[hybrid-train] ep 120/500 | train loss=0.0020 top1=1.000 | val loss=0.2601 | t=0.1s
[hybrid-train] ep 121/500 | train loss=0.0020 top1=1.000 | val loss=0.2383 | t=0.1s
[hybrid-train] ep 122/500 | train loss=0.0020 top1=1.000 | val loss=0.2049 | t=0.1s
[hybrid-train] ep 123/500 | train loss=0.0019 top1=1.000 | val loss=0.2132 | t=0.1s
[hybrid-train] ep 124/500 | train loss=0.0019 top1=1.000 | val loss=0.2315 | t=0.1s
[hybrid-train] ep 125/500 | train loss=0.0019 top1=1.000 | val loss=0.2395 | t=0.1s
[hybrid-train] ep 126/500 | train loss=0.0018 top1=1.000 | val loss=0.2319 | t=0.1s
[hybrid-train] ep 127/500 | train loss=0.0018 top1=1.000 | val loss=0.2206 | t=0.1s
[hybrid-train] ep 128/500 | train loss=0.0017 top1=1.000 | val loss=0.2326 | t=0.1s
[hybrid-train] ep 129/500 | train loss=0.0017 top1=1.000 | val loss=0.2363 | t=0.1s
[hybrid-train] ep 130/500 | train loss=0.0017 top1=1.000 | val loss=0.2267 | t=0.1s
[hybrid-train] ep 131/500 | train loss=0.0017 top1=1.000 | val loss=0.2207 | t=0.1s
[hybrid-train] ep 132/500 | train loss=0.0016 top1=1.000 | val loss=0.2344 | t=0.1s
[hybrid-train] ep 133/500 | train loss=0.0016 top1=1.000 | val loss=0.2389 | t=0.1s
[hybrid-train] ep 134/500 | train loss=0.0016 top1=1.000 | val loss=0.2234 | t=0.1s
[hybrid-train] ep 135/500 | train loss=0.0016 top1=1.000 | val loss=0.2110 | t=0.1s
[hybrid-train] ep 136/500 | train loss=0.0015 top1=1.000 | val loss=0.2198 | t=0.1s
[hybrid-train] ep 137/500 | train loss=0.0015 top1=1.000 | val loss=0.2379 | t=0.1s
[hybrid-train] ep 138/500 | train loss=0.0015 top1=1.000 | val loss=0.2341 | t=0.1s
[hybrid-train] ep 139/500 | train loss=0.0015 top1=1.000 | val loss=0.2205 | t=0.1s
[hybrid-train] ep 140/500 | train loss=0.0015 top1=1.000 | val loss=0.2169 | t=0.1s
[hybrid-train] ep 141/500 | train loss=0.0014 top1=1.000 | val loss=0.2239 | t=0.1s
[hybrid-train] ep 142/500 | train loss=0.0014 top1=1.000 | val loss=0.2362 | t=0.1s
[hybrid-train] ep 143/500 | train loss=0.0014 top1=1.000 | val loss=0.2286 | t=0.1s
[hybrid-train] ep 144/500 | train loss=0.0014 top1=1.000 | val loss=0.2095 | t=0.1s
[hybrid-train] ep 145/500 | train loss=0.0014 top1=1.000 | val loss=0.2038 | t=0.1s
[hybrid-train] ep 146/500 | train loss=0.0013 top1=1.000 | val loss=0.2281 | t=0.1s
[hybrid-train] ep 147/500 | train loss=0.0013 top1=1.000 | val loss=0.2484 | t=0.1s
[hybrid-train] ep 148/500 | train loss=0.0013 top1=1.000 | val loss=0.2275 | t=0.1s
[hybrid-train] ep 149/500 | train loss=0.0013 top1=1.000 | val loss=0.2026 | t=0.1s
[hybrid-train] ep 150/500 | train loss=0.0013 top1=1.000 | val loss=0.2058 | t=0.1s
[hybrid-train] ep 151/500 | train loss=0.0013 top1=1.000 | val loss=0.2182 | t=0.1s
[hybrid-train] ep 152/500 | train loss=0.0012 top1=1.000 | val loss=0.2309 | t=0.1s
[hybrid-train] ep 153/500 | train loss=0.0012 top1=1.000 | val loss=0.2271 | t=0.1s
[hybrid-train] ep 154/500 | train loss=0.0012 top1=1.000 | val loss=0.2201 | t=0.1s
[hybrid-train] ep 155/500 | train loss=0.0012 top1=1.000 | val loss=0.2265 | t=0.1s
[hybrid-train] ep 156/500 | train loss=0.0012 top1=1.000 | val loss=0.2354 | t=0.1s
[hybrid-train] ep 157/500 | train loss=0.0012 top1=1.000 | val loss=0.2205 | t=0.1s
[hybrid-train] ep 158/500 | train loss=0.0011 top1=1.000 | val loss=0.2115 | t=0.1s
[hybrid-train] ep 159/500 | train loss=0.0011 top1=1.000 | val loss=0.2227 | t=0.1s
[hybrid-train] ep 160/500 | train loss=0.0011 top1=1.000 | val loss=0.2237 | t=0.1s
[hybrid-train] ep 161/500 | train loss=0.0011 top1=1.000 | val loss=0.2142 | t=0.1s
[hybrid-train] ep 162/500 | train loss=0.0011 top1=1.000 | val loss=0.2084 | t=0.1s
[hybrid-train] ep 163/500 | train loss=0.0011 top1=1.000 | val loss=0.2273 | t=0.1s
[hybrid-train] ep 164/500 | train loss=0.0011 top1=1.000 | val loss=0.2431 | t=0.1s
